DEPARTAMENTO,MUNICIPIO,ESTADOS,VELOCIDAD_SUBIDA,VELOCIDAD_BAJADA,TRAFICO_MENSUAL_SUBIDA,TRAFICO_MENSUAL_BAJADA,USUARIOS_ACTIVOS_MES,INVERSION,ZONA,DIFICULTADACCESO,TIPO_CONECTIVIDAD
CALDAS,PACORA,OPERACION,30.0,30.0,0.0,0.0,0,65915373.47,URBANA,,
CORDOBA,PUERTO ESCONDIDO,OPERACION,30.0,30.0,16.34375,116.685546875,46,65915373.47,URBANA,,
BOYACA,PAZ DE RIO,OPERACION,30.0,30.0,4.6923828125,73.3203125,28,65915373.47,URBANA,,
CAUCA,BALBOA,OPERACION,30.0,30.0,4.501953125,130.466796875,11,65915373.47,URBANA,,
CUNDINAMARCA,GUASCA,OPERACION,20.0,20.0,1.6220703125,14.5615234375,6,53963793.0,URBANA,,
SUCRE,SUCRE,OPERACION,30.0,30.0,32.197265625,477.23828125,96,65915373.47,URBANA,,
BOYACA,TIPACOQUE,OPERACION,30.0,30.0,3.2783203125,43.59765625,17,65915373.47,URBANA,,
PUTUMAYO,SIBUNDOY,OPERACION,20.0,20.0,1.4638671875,44.5546875,21,53963793.0,URBANA,,
ANTIOQUIA,BETULIA,OPERACION,20.0,20.0,0.08203125,1.84375,4,53963793.0,URBANA,,
CAUCA,SILVIA,OPERACION,30.0,30.0,2.8056640625,50.1630859375,11,65915373.47,URBANA,,
ANTIOQUIA,MURINDO,OPERACION,30.0,30.0,2.015625,50.69140625,16,65915373.47,URBANA,,
SUCRE,OVEJAS,OPERACION,20.0,20.0,20.6953125,395.6572265625,96,53963793.0,URBANA,,
CORDOBA,PUERTO ESCONDIDO,OPERACION,30.0,30.0,12.294921875,156.8359375,31,65915373.47,URBANA,,
ANTIOQUIA,SAN ANDRES DE CUERQUIA,OPERACION,30.0,30.0,3.2275390625,36.07421875,43,65915373.47,URBANA,,
MAGDALENA,CONCORDIA,OPERACION,20.0,20.0,8.1826171875,159.5869140625,12,53963793.0,URBANA,,
MAGDALENA,PIVIJAY,OPERACION,20.0,20.0,4.5078125,42.8837890625,32,53963793.0,URBANA,,
CUNDINAMARCA,JUNIN,OPERACION,30.0,30.0,0.0,0.0,0,65915373.47,URBANA,,
CAUCA,JAMBALO,OPERACION,30.0,30.0,45.9833984375,416.4384765625,104,65915373.47,URBANA,,
MAGDALENA,EL PIÑON,OPERACION,30.0,30.0,18.9033203125,323.5400390625,32,65915373.47,URBANA,,
